firearm_type,price,link,stock_status
"Taurus - G3 T.O.R.O. 17rd 4"" 9mm",$311.95,https://gricewholesale.com/tar1g3p941-taurus-g3-9mm-bk-bk-4-1x15-1x17rds-optic-ready.html,ADD TO CART
"CZ - 612 Magnum Turkey Camo Pump 26"" 12ga",$386.95,https://gricewholesale.com/czg06533-cz-612-magnum-turkey-12-3-5-26-4rd-realtree-ap.html,ADD TO CART
"Savage - 110 High Country Brown Cerakote 24"" 28 Nosler",$859.95,https://gricewholesale.com/sav57765-savage-110-high-country-28-nosler-24-brown-cerakote.html,OUT OF STOCK
"Taurus - TX22 Competition SCR 16rd 5.4"" 22 LR",$417.95,https://gricewholesale.com/tar1tx22c151t-taurus-tx22-competition-scr-22lr-5-4-bk-bk-3x16rds.html,OUT OF STOCK
"CZ - 612 Field Pump Walnut 28"" 12ga",$343.95,https://gricewholesale.com/czg06540-cz-612-field-pump-12-3-28-4rd-walnut.html,ADD TO CART
"Savage - Rascal Minimalist Teal/Gray Threaded 16.125"" 22 LR",$226.95,https://gricewholesale.com/sav13802-savage-rascal-minimalist-22lr-16-teal-grey.html,ADD TO CART
"Mossberg - M930 Turkey 24"" 12ga",$528.95,https://gricewholesale.com/mos85222-moss-m930-turkey-12ga-24vr-xx-full-hiviz.html,ADD TO CART
"Browning - X-Bolt Pro Long Range Carbon Gray 26"" 300 Win Mag","$1,863.95",https://gricewholesale.com/brg035543229-brown-x-bolt-pro-long-range-carbon-gray-300winmag-26-mb.html,ADD TO CART
"Charles Daly - 101 Single Barrel Field Shotgun 20"" 12ga",$105.95,https://gricewholesale.com/chd930269-charles-daly-101-single-barrel-field-shotgun-12-3-20-black.html,ADD TO CART
"Fusion - Liberty Series Tope Pump 18.5"" 12ga",$304.95,https://gricewholesale.com/ffctope1218-fusion-liberty-series-tope-vent-rib-12-3-18-5-walnut-blue.html,ADD TO CART
"Savage - 110 Long Range Hunter 26"" 300 PRC",$908.95,https://gricewholesale.com/sav57495-savage-110-long-range-hunter-300prc-26-matte-mb.html,ADD TO CART
"Browning - X-Bolt Mountain Pro Long Range Tungsten 26"" 300 PRC","$2,092.95",https://gricewholesale.com/brg035541297-brown-x-bolt-mountain-pro-lr-tungsten-300prc-26-mb.html,ADD TO CART
"Kimber - Micro 380 Stainless Rosewood 7rd 2.75"" 380 ACP",$633.95,https://gricewholesale.com/kim3700677-kimber-micro380-stainless-rosewood-rtc-special-ns.html,ADD TO CART
"Kimber - Micro 9 Two-Tone Laser Grip 7rd 3.15"" 9mm",$679.95,https://gricewholesale.com/kim3300216-kimber-micro9-two-tone-lg.html,ADD TO CART
"Fusion - Liberty Series Tope Vent Rib Pump 26"" 12ga",$304.95,https://gricewholesale.com/ffctope1226-fusion-liberty-series-tope-vent-rib-12-3-26-walnut-blue.html,ADD TO CART
"Fusion - Liberty Series Bali Semi-Auto 26"" 12ga",$549.95,https://gricewholesale.com/ffcbali1226-fusion-liberty-series-bali-12-3-26-walnut-blue.html,ADD TO CART
"Kimber - Micro 380 Two-Tone 7rd 2.75"" 380 ACP",$633.95,https://gricewholesale.com/kim3700678-kimber-micro380-two-tone-rtc-special-ns.html,ADD TO CART
"Shadow Systems - XR920 Combat Slide 17rd 4"" 9mm",$889.00,https://gricewholesale.com/swsss3006-shadow-systems-xr920-9mm-black-frame-combat-slide-op-black.html,ADD TO CART
"Ruger - LCP Max Red Titanium 10rd 2.75"" 380 ACP",$354.95,https://gricewholesale.com/rug13722-ruger-lcp-max-380auto-2-75-red-titanium-10rd.html,OUT OF STOCK
"Savage - Rascal Minimalist Pink/Purple Threaded 16.125"" 22 LR",$226.95,https://gricewholesale.com/sav13797-savage-rascal-minimalist-22lr-16-125-pink-purple.html,ADD TO CART
"Howa - M1500 Kryptek Highlander Heavy Threaded Barrel 20"" 308 Win",$519.95,https://gricewholesale.com/leg30820-legacy-m1500-308win-20-hb-t-c-kryptek-highlander.html,OUT OF STOCK
"Heritage - Barkeep Boot Custom Wood Bird's Head Grip 6rd 1"" 22 LR",$150.95,https://gricewholesale.com/htg70677-heritage-barkeep-boot-22lr-black1-6rd-bh-wb02-snake.html,ADD TO CART
"Howa - M1500 Kryptek Highlander Heavy Threaded Barrel 20"" 22-250 Rem",$519.95,https://gricewholesale.com/leg22250-legacy-m1500-22-250rem-20-hb-t-c-kryptek-highlander.html,OUT OF STOCK
